CNES;Estabelecimento de Saúde;1ª Dose
2027305; UBS PROFETA JEREMIAS;11357
4050754; UBS DA MARANDUBA UBATUBA;11357
100250; CENTRAL DE ABASTECIMENTO MUNICIPAL DA REDE DE FRIO DIADEMA;11319
2793474; UMSF JARDIM YOLANDA;11277
3004341; UBS STO ESTEVAO CARMOSINA;11276
2022923; CENTRO DE SAUDE JARDIM IPAUSSURAMA;11272
2051923; CENTRO DE SAUDE II CARDOSO;11267
2039176; UBS 01 JARDIM CONVENCAO ITU;11255
9546502; VIGILANCIA EPIDEMIOLOGICA;11242
2023369; CENTRO DE SAUDE PARQUE FLORESTA;11231
2035286; ESF HUMAITA SAO VICENTE;11210
6032605; CENTRO DE SAUDE CAMPO BELO;11203
5991404; USF DO JARDIM NOVA ESPERANCA;11203
8311; UBS SANTA GEMA GALGANI;11200
7721439; CASA DA MULHER E DA CRIANCA;11192
2038943; UNIDADE BASICA DE SAUDE VILA MARGARIDA SAO VICENTE;11183
3007634; USF JARDIM DAS LARANJEIRAS PIRASSUNUNGA;11175
2022788; CENTRO DE SAUDE PERSEU LEITE DE BARROS;11161
2035855; PR S DA FAMILIA UNIDADE DE SAUDE ADALBERTO ROCHA GUAREI;11160
2055171; UBS NOVO RECREIO;11160
2096757; UBS ENGENHEIRO SCHIMIT;11143
2055686; CENTRO DE SAUDE ESCOLA SOROCABA;11140
2746336; UNIDADE MISTA LEONCIO DO NASCIMENTO DE SERRA AZUL;11120
7729766; USF CESAR AUGUSTO ARITA JD PAULO GOMES ROMEO;11108
9059; UBS VILA TESOURO;11105
2751186; UBS II DR JOSE CARLOS MACUCO JANINI;11103
2022613; CENTRO DE SAUDE CAMPOS ELISEOS;11102
2773767; USF NOVA JUNDIAPEBA;11098
7705263; UBS VILA NOVA JUVENCIO P DE SOUZA;11077
6957641; CENTRO MUNICIPAL DE EPIDEMIOLOGIA E IMUNIZACOES LIMEIRA;11052
5172780; UMSF RIO COMPRIDO;11037
2701308; UNIDADE BASICA DE SAUDE AGAPEAMA;11007
2062356; UNIDADE BASICA DE SAUDE PRACA VITORIA SAO VICENTE;11002
2027011; UBS JD CARRAOZINHO;10987
2045354; UBS DEMARCHI;10966
3219887; UBS CDHU PALANQUE;10949
2046318; CENTRO DE SAUDE DIC III;10940
2791323; USF POUSO ALEGRE DE BAIXO;10929
2023458; CENTRO DE SAUDE SAO DOMINGOS;10928
2790165; CENTRO DE SAUDE II BARRA BONITA;10919
9188177; UBS HELIOPOLIS;10904
2061597; UBS SANTA TERESINHA FRANCA SP;10901
2039923; UBS DE TABAPUA;10893
2055643; PSF CENTRO;10885
2773503; UBS JARDIM CAMILA;10838
6032397; CENTRO DE SAUDE NOVA AMERICA;10778
2052490; NUCLEO DE ESF OSWALDO CRUZ;10774
2052636; ESF ABEL ROLIM PINHEIRO;10758
7520433; CENTRO DE SAUDE SAN MARTIN;10755
3950220; CENTRO DE SAUDE CASSIO RAPOSO DO AMARAL;10731
2044196; UBS SANTO AFONSO;10727
2773759; UBS VILA NATAL;10705
2038404; CS DE PALESTINA;10662
2022826; CENTRO DE SAUDE BOA VISTA;10645
7507224; USF HERMINIO BUENO;10638
2745658; CENTRO DE SAUDE III SALES OLIVEIRA;10627
6032427; CENTRO DE SAUDE ROSALIA;10588
2091739; UBS MORADA DO SOL;10588
2023377; CENTRO DE SAUDE PARQUE SANTA BARBARA;10554
2062178; UBS BEIJA FLOR;10534
2062151; UBS GASPARINI;10534
7344252; USF VILA DUTRA;10531
2096242; UBS ENF LEONTINA MARTINS FRANCA;10530
2044501; UBS SONIA MARIA;10527
2069822; UBS PARQUE ALVORADA;10518
2047063; ESF PARQUE ALVORADA DR ERNIZIO PIO DANELUZZI;10516
9725393; CENTRO DE SAUDE DIC VI;10514
2789310; UBS V COSMOPOLITA;10513
8249; UBS ANUNCIATA DE LUCIA;10511
2701316; UNIDADE BASICA DE SAUDE RETIRO;10495
2784599; UNIDADE BASICA DE SAUDE FRANCOLINO GALVAO DE SOUZA;10473
3444929; UBS PARQUE DO HORTO ALLYSON HENRIQUE DE SOUZA DIAS;10454
2027046; UBS JD PARAGUACU DR GONCALO FELICIANO ALVES;10438
9900861; UBS DR LUIZ GAETANI JARDIM CRISTO REDENTOR;10436
2049783; UBS MARIO RIBEIRO DE ARAUJO VALENTINA FIGUEIREDO;10427
2704889; UNIDADE BASICA DE SAUDE TULIPAS PACS;10425
2789221; UBS VILA RENATO MARIA DAS GRACAS DA SILVA;10410
2790289; PSF III DOUTOR HELIO INFORZATO;10408
2054914; USF 1 ANTONIO OIR DO PRADO;10371
2023172; CENTRO DE SAUDE JARDIM SANTA MONICA;10356
9294481; CENTRO DE SAUDE SAN DIEGO;10334
2751143; UBS III DE RANCHARIA;10330
2084953; UMSF IGARAPES;10327
7910347; CENTRO DE REFERENCIA DA MULHER E DA CRIANCA LEILA A SALEH;10318
7080441; UBS CALCAREA FLORINDA DA SILVA ZAMBELLI;10289
2773392; UBS BRAZ CUBAS;10275
2766280; UNIDADE MISTA DE AVANHANDAVA;10269
2773775; UBS VILA SANTA MARGARIDA;10261
2070995; UBS VILA APARECIDA ITAPEVA;10254
7347588; UMSF JARDIM EMILIA;10238
2055449; CENTRO DE SAUDE EDEN SOROCABA SOROCABA;10231
2028727; ATENCAO PRIMARIA A SAUDE BRUNO NOVAES BOFETE;10203
7202709; USF NOVE DE JULHO;10203
4050576; CENTRO DE SAUDE E PA SOROCABA I SOROCABA;10201
2032503; CS III DR ANTONIO ANADAO SSGRAMA;10194
3121135; UBS GRAFICOS;10176
2043254; UNIDADE BASICA DE SAUDE JOAO BATISTA DE ARRUDA;10165
2055031; USAFA JARDIM BOA ESPERANCA LUIZ MACIEL BRAIA GUARUJA;10154
2083752; USF JARDIM SILVIA;10154
6281419; USF CENTRO;10125
3591042; UBS CARMENO NAGGHY JARDIM DAVILA;10123
2051966; UBS ODILON SIQUEIRA CENTRO;10123
9647198; UBS SANTA CLARA;10112
6032478; CENTRO DE SAUDE SATELITE IRIS I;10110
2083701; USF DO PARQUE 120 DR RAMS MALULY;10093
2064499; UBSF DR BENITO MALZONE;10088
2058391; HOSPITAL ISRAELITA ALBERT EINSTEIN;10067
2091747; UBS ALPES DO JARAGUA;10063
6260128; UNIDADE MOVEL OFTALMOLOGICA;10051
2028778; UBS BRABANCIA AVARE;10033
2718979; ESF JARDIM NICEA LOUZADA;10031
7252455; HOSPITAL PROFESSORA LYDIA STOROPOLI;10016
2773783; UBS VILA SAO PAULO;9885
2752298; UBS J TIETE II;9842
2029219; UBSF JERONIMO FERREIRA DE OLIVEIRA GUARACI SP;9833
2046954; USF VALE DO SOL DR EUCLYDES CROCCI;9828
2064081; UBS DR MILTON BARONI DE BARRETOS;9823
2047454; UNIDADE MISTA DE SAUDE DE SARAPUI;9804
3190188; CENTRO DE SAUDE PARQUE ITAJAI;9788
77445; ODONTO MOVEL;9762
2779498; CENTRO DE ESPECIALIDADES DE PRIMAVERA;9755
2053314; UNIDADE BASICA DE SAUDE DR LOTFALLAH MIZIARA;9739
2092425; CENTRO DE SAUDE DE CHAVANTES;9714
2046202; USF MATAO;9708
2791366; USF SANTA HELENA;9706
2793512; UNIDADE MISTA DE SAUDE DE DUMONT;9684
2028271; CENTRO DE SAUDE FARMACEUTICA ROSANGELA DE ALMEIDA LISBOA;9671
9660; UBS DOM PEDRO I;9653
2028719; UBS SEBASTIAO ALMEIDA PINTO COHAB I BOTUCATU;9649
2050110; USF VILA SAO PAULO;9647
2037742; UBS UNIAO;9645
4050223; UBS PARQUE DO LAGO;9628
5415500; ESF ROSEIRA VELHA;9623
2090627; ESF II CENTRO;9615
5119774; UNIDADE DE SAUDE DA FAMILIA JOSE ADALBERTO LELLIS GARCIA;9612
3003965; USF JARDIM AEROPORTO 2 SANTOS DUMONT;9607
2044013; UBS DR JOAO RODRIGUES MOREIRA;9601
2022915; CENTRO DE SAUDE SAO VICENTE;9579
2704773; UNIDADE BASICA DE SAUDE VILA RIO BRANCO;9575
2704765; UNIDADE BASICA DE SAUDE JUNDIAI MIRIM;9558
7709188; UBS AREIAO;9538
2790459; UNIDADE BASICA DE SAUDE DR ARQUIMEDES B NASI;9511
2698366; CENTRO DE SAUDE II DR JOSE DA SILVA GUERRA;9509
3288854; USF ZANIBONI II;9496
3953262; UBS VL DOS PINHEIROS SANCTA FE GRAF DE OLIVEIRA;9495
2050951; UBS RIBEIRO;9483
2090910; UBS DR ALDEMAR HOLTZ DE ALMEIDA;9477
2752131; SAE IST AIDS IPIRANGA JOSE F ARAUJO;9475
2748614; USF ARISTIDES RODRIGUES PIRASSUNUNGA;9460
7182651; UBS PARQUE NOVA ESPERANCA;9443
3138038; UBS DR NILTON NICOLAU NAUFAL REBOUCAS;9442
2062488; USF DARCY RIPA;9433
2054833; UNIDADE DE SAUDE DA FAMILIA RIBEIRAO GRANDE;9421
9075; UBS CHACARAS REUNIDAS;9389
2088118; UBS DR ANTONIO ALBEJANTE MOGI MIRIM;9386
2039753; USF PEDRO MATURANA ATIBAIA;9383
4047435; ESF CRUZ DAS ALMAS;9381
2746530; UBS BELA VISTA;9370
9382933; UBS MARCELO GOES DE SOUZA;9364
5005086; UBS 5 JARDIM FONTANELLA;9340
7975848; USF ROSA CRUZ;9330
2059851; NUCLEO DO PROGRAMA DE SAUDE DA FAMILIA ANA ROSA;9326
2088169; UBS JARDIM PAULISTA MOGI MIRIM;9324
2032198; UBS DR AMADO GONCALVES DOS SANTOS SAO JOAO DA BOA VISTA;9292
6879810; UBS NOVA ESPERANCA PAULISTANO II;9237
2043270; UNIDADE BASICA DE SAUDE GENIRA PICCO ROCHA;9235
9129855; UBS SHANGRILA ELLUS;9230
9466; UBS PARAISO DO SOL;9226
2062259; UBS DR JOSE CARLOS SAY JARDIM MARIA DAS GRACAS;9218
2704897; UNIDADE BASICA DE SAUDE MARINGA PACS;9203
9210; UBS VILA MARIA;9198
2751577; UBS DA FAMILIA PARQUE DAS ARVORES CERQUILHO;9186
9504; UBS SAO JUDAS TADEU;9181
2025213; PAMO VILA SAO CARLOS;9175
7828195; UNIDADE DE SAUDE DA FAMILIA IRMA GUILHERMINA;9172
2083779; USF DR WALFRIDO TIBURCIO;9160
2060272; CENTRO DE SAUDE III RINCAO;9130
2751909; AMB ESPEC DR MILTON ALDRED;9122
2034301; UBS JARDIM MARINGA ITAPEVA;9115
2086115; CENTRO DE SAUDE II DE PACAEMBU;9106
6305660; UBS DINAMARCA;9092
2022834; CENTRO DE SAUDE VILA RICA;9085
9279849; NUCLEO DO PROGRAMA DE SAUDE DA FAMILIA CONTINENTAL;9083
2088991; PROMAI;9069
3473759; UBS RESIDENCIAL UNIAO;9060
3251519; USF ANA NERY ATIBAIA;9057
2716208; CENTRO DE SAUDE DR UEBE REZECK;9048
6580866; ESF PEQUENO CORACAO;9046
2747111; CENTRO DE SAUDE III NOVA EUROPA;9041
2706431; UNIDADES MOVEIS ODONTOLOGICAS;9025
2787059; UBS FERROVIARIOS;9009
9474; UBS PARQUE INTERLAGOS;9009
2043963; USAFA PEREQUE GUARUJA;9005
2047349; CENTRO DE SAUDE DE CAJOBI;8981
2092573; PSF CENTRO TARUMA;8967
2057883; UBS CENTRO OESTE;8965
2043904; MACRO III SANTA TEREZINHA;8958
2716739; UNIDADE DE ESTRATEGIA EM SAUDE DA FAMILIA BORACEIA;8945
6674771; UBS JD CAMPOS VERDES MARIA AP ANTUNES DOS SANTOS;8939
2088142; UBS SANTA CRUZ MOGI MIRIM;8929
2072084; UBS III OLAVO DOMINGUES;8925
2787954; UBS J VITORIA;8920
2028034; ESTRATEGIA DE SAUDE DA FAMILIA ZANAGA I;8912
2056240; UBS II DE ITARARE ITARARE SP;8910
2051893; CS DE NEVES PAULISTA;8907
2038773; UBS BARRA VELHA ILHABELA;8906
2038994; UBS JARDIM GUAPITUBA;8893
2786796; CRPICS BOSQUE DA SAUDE;8892
3473783; UBS ALTOS DE SANTANA;8889
9460551; UBS URSI CONJUNTO AE CARVALHO;8887
9725407; CENTRO DE SAUDE VICENTE PISANI NETO;8878
6873286; UBS JARDIM LAPENNA;8875
2785455; UNIDADE BASICA DE SAUDE MARIA TEREZA APPRILANTE GIMENEZ;8860
2087553; UNIDADE BASICA DE SAUDE JARDIM SERRANO;8833
2745704; CS II EGIDIO BRUNHARA MORRO AGUDO;8829
2084961; UMSF VILA ZEZE;8814
3492958; UBS FRANCISCO XAVIER DE CARVALHO SERTAOZINHO;8812
2746697; USA PARQUE SANTANA;8810
2040603; UBS JD AMANDA I;8809
2023067; CENTRO DE SAUDE JARDIM ROSSIN;8773
9003398; UBS DR GHAZI OSMAN BARACATI RHAZI UBS DONA AMELIA;8767
2075881; UBS JARDIM NOVA REPUBLICA;8761
2706091; UNIDADE BASICA DE SAUDE JOSE GRACIANO CORDEIRO FERREIRA;8740
8389; CENTRO DE ATENCAO AO IDOSO UNICO GALLAFRIO;8729
2047969; PM 19 PARQUE DA LIBERDADE;8723
5545080; USF DRA HELOISA MAIA LA ROCCA JAMIL CURY;8715
2037556; UBS PLANALTO;8714
2054523; UBS ARACILIA;8698
2090325; UBS DR ALEX PAULO PICANCO CERQ CESAR;8678
9099581; UPA SELMI DEI NEFALIA DE OLIVEIRA LAUAR;8666
2094126; ESF WAGNER ZUCOLOTTO;8661
2787547; UBS JARDIM KERALUX;8638
9295348; UNIDADE BASICA DE SAUDE DR ARNALDO DE SOTTOVIA ARRUDA;8637
2033038; CS DE BALSAMO;8609
6011233; CENTRO DE ATENCAO AO IDOSO PADRE RAFAEL BUSATTO;8608
2056119; CS II DE RINOPOLIS;8596
2748738; UNIDADE BASICA DE SAUDE DE SALTINHO;8593
2066807; PM 15 SAO DOMINGOS;8579
2083787; USF DO JARDIM SANTO ANTONIO;8558
2084899; PSF DR ALEXIS HAKIM SAO JOAO DA BOA VISTA;8554
2064618; UBS DR JAIR RODRIGUES ALVES JARDIM CRISTINA BTU;8542
9597174; USF BOICUCANGA I;8536
7576293; ESF BANANAL;8493
2773791; UBS VILA SUISSA;8476
2039435; UBS FAGA PS DR VIRIATO FERNANDES NUNES;8467
9380760; UBS CONJUNTO MARIO COVAS DRA HAROLDA ROMUALDA PACHECO;8460
6804845; UBS PORTAO;8455
2746050; UBS DR JOAO CARLOS GARCIA;8455
2065657; USF MIGUEL AYUB MONTE SANTO;8432
8273; UBS PE GUERRINO RICIOTTI;8423
2038153; UBS DR DELVO DE OLIVEIRA WESTIN SAO JOAO DA BOA VISTA;8404
3016935; UBS JARDIM BANDEIRANTES;8370
3788474; UNIDADE BASICA DE SAUDE PARQUE SAO VICENTE SAO VICENTE;8352
2790319; CENTRO DE SAUDE III DE TORRINHA;8345
9701532; ENF LAR SERVICOS DE ENFERMAGEM;8343
2087561; UNIDADE BASICA DE SAUDE VILA GARCIA;8333
2067226; UBS VILA FIUZA;8327
2773635; UBS PONTE GRANDE;8323
2034182; UNIDADE BASICA DE SAUDE CIDINHA LEITE;8318
2081822; UNIDADE MISTA DE CANANEIA;8308
2087952; PSM DR LUIZ FERNANDO A PESSOA LEME;8284
2048159; USF BRANCA FLOR;8271
2056976; UBS JARDIM SAO PEDRO DR RUY DUTRA BARROSO;8266
2773031; UBS DA FAMILIA NOVA CERQUILHO CERQUILHO;8259
2773589; UBS JARDIM UNIVERSO;8257
2049295; CENTRO DE SAUDE NOVA SOROCABA SOROCABA;8243
6032362; CENTRO DE SAUDE LISA;8233
2047330; CS DE COSMORAMA;8221
2087537; UNIDADE BASICA DE SAUDE PARQUE BELA VISTA;8204
2083272; HOSPITAL MUNICIPAL DE BERTIOGA;8196
2773341; UBS MARCELO PETEGROSSO PEREIRA;8195
2065037; UBS II JARDIM GUANABARA DR ANGELO ROBERTO BARBOSA;8191
2787075; UBS GLEBA DO PESSEGO;8190
2073250; CS URANIA;8170
2076276; UNIDADE DE SAUDE DA FAMILIA ATILIO BERGO JOAO TEIXEIRA;8170
2747103; CENTRO DE SAUDE III DOBRADA;8159
2047721; UBS DR ADALBERTO ARIANO CRESPO;8157
7484186; ESF ROBERTA GATTI DA SILVA ESTEVES;8148
2052814; CS DE RIOLANDIA;8138
9385; UBS JARDIM SANTA INES II;8127
9686363; UBS CACILDA FOGACA DE ALMEIDA;8114
9408711; USF II DR JOSE RODOLFO ZIMMERMANN DIAS;8106
5471362; ESF JARDIM YONEDA;8100
7637160; CASA DA MULHER;8091
2749971; USF NOVA TERRA;8083
2077396; HOSPITAL DE BASE DE SAO JOSE DO RIO PRETO;8078
3021378; HOSPITAL DO VICENTINO;8053
4048431; USF DR ANGELO ARLINDO LOBO;8043
6012582; USF LUCELIA;8040
2785323; ESF DALCY DE CAMPOS TOLEDO;8024
7703732; USF ITALO CURTI;7974
2047810; CENTRO DE SAUDE III TAPIRAI;7971
2079127; HOSPITAL SIRIO LIBANES;7969
2765896; USF MARESIAS I;7967
6032443; CENTRO DE SAUDE VILLAGE;7966
2064146; UBS ESF JD LUIZA;7962
7986971; UBS ALPHAVILLE TAMBORE;7961
3004031; UBS ALLAN KARDEC;7961
2027763; POSTO DE SAUDE DA FAMILIA VILA ILZE;7954
2031701; CENTRO DE SAUDE III SAO BENTO DR VITOR MONTEIRO;7947
2063859; USF I DE HERCULANDIA;7918
2055880; UBS IROHY;7916
2688360; UBS BIRICA DO VALADO;7912
2705680; UBS SANTO ANTONIO;7906
2752158; SAE IST AIDS SANTANA MARCOS LUTEMBERG;7904
2049244; CENTRO DE SAUDE E PA PARQUE LARANJEIRAS SOROCABA;7896
2785595; UNIDADE DE SAUDE DA FAMILIA DR AMELIO TANGANELLI;7885
2045397; UBS BATISTINI;7868
2053624; UBS CAPUAVA;7855
2748363; CENTRO DE ESPECIALIDADES MEDICAS IRMA LEOPOLDINA;7817
9245; UBS LIMOEIRO;7801
3004406; USF RUBIAO JUNIOR BOTUCATU;7777
2075121; UNIDADE BASICA DE SAUDE DR FELICIO FERNANDES NOGUEIRA;7774
2096986; UBS VETORAZZO;7767
2751208; UBS VEREADOR ANTONIO TEIXEIRA BATATA;7755
2747014; PAS CAIC SANTA RITA DO PASSA QUATRO;7738
2789752; CENTRO DE REFERENCIA EM SAUDE DO TRABALHADOR;7727
9083; UBS JARDIM TELESPARK;7721
5501083; UBS CAMBARA;7709
7889100; UNIDADE DE SAUDE DA FAMILIA SALVADOR RIBEIRO LEITE;7688
2087472; UNIDADE BASICA DE SAUDE VILA NOVA VOTORANTIM;7679
2787431; UBS J HELIAN;7647
2044641; UNIDADE BASICA DE SAUDE MARIO EVARISTO TADEI;7643
3021394; UNIDADE BASICA DE SAUDE SAMBAIATUBA SAO VICENTE;7641
2792230; UBS SEBASTIAO FERREIRA DA SILVEIRA;7637
5878128; UNIDADE DE SAUDE DA FAMILIA PAINEIRAS SOROCABA;7637
5309719; ESF CONTINENTAL SAO VICENTE;7636
2083558; USF JOQUEI CLUBE ESF JOQUEI CLUBE;7620
2054256; USF ALEMOA E CHICO DE PAULA;7609
6367194; SECRETARIA MUNICIPAL DE SAUDE SAO CARLOS;7586
6592635; VIGILANCIA EPIDEMIOLOGICA DE ITAQUAQUECETUBA;7585
2083760; USF VILA GUILHERME;7576
2054949; CENTRO DE SAUDE III LAURA DO VAL CERVI TERRA ROXA;7573
2072009; CENTRO DE SAUDE II FARTURA;7566
7233531; UNIDADE BASICA DE SAUDE ANTONIO APPARECIDO FIORANI;7566
2746840; USA SAO PEDRO;7555
29181; UBS JARDIM CIPRESTE;7544
9156; UBS VILA NAIR;7542
2026414; UNIDADE BASICA DE SAUDE I;7529
2037750; UBS BAETA NEVES;7511
3051900; ESF WINTER MALATRAZI;7505
2061473; UNIDADE BASICA DE SAUDE DR PAULO PRATA;7501
2066556; UBS VILA RIBEIRO;7488
2047039; PSF PRAIA AZUL FAMILIA SAUDAVEL;7479
2041367; UBS JOAO VICTORINO FERREIRA;7476
2716690; UNIDADE BASICA DE SAUDE DR ORESTES DE MOURA PINTO;7471
6865321; CENTRO DE SAUDE SANTA ROSA;7470
2053950; NUCLEO DE SAUDE DA FAMILIA PAINEIRAS;7463
3007944; CENTRAL DE AMBULANCIA;7460
2750317; C S DR JOSE A NOGUEIRA ESF I ROSIMAR DE ARAUJO FRANCO;7455
2052091; UNIDADE PSF VILA APARECIDA CAPAO BONITO;7454
2749114; UNIDADE INTEGRADA DE SAUDE LEOPOLDO DE ARAUJO A PRATA;7421
2746646; UBS IV DR NICANOR ANTONIO ABREU DE OLIVEIRA;7420
2051931; CS DR MIGUEL HERNANDEZ ARIRANHA;7420
2086506; UMSF SAO SILVESTRE;7418
2792222; UBS SAO LUCAS;7418
9237; UBS VILA PAIVA;7417
2023954; UBS JOSE FRANCISCO CAIABA;7415
2706105; UNIDADE BASICA DE SAUDE AFONSO NOBRE BAIA;7405
2045028; ESF SAQUARE SAO VICENTE;7382
6332439; UBS JARDIM DAS FONTES;7362
2037734; UBS PARQUE SAO BERNARDO;7359
2023210; CENTRO DE SAUDE JOAQUIM EGIDIO;7358
2033356; UNIDADE DE SAUDE DE ITOBI ALCIBIADES PIRES;7355
2093650; UNIDADE BASICA DE SAUDE DR BARTOLOMEU MARAGLIANO VENERE;7349
2806118; UBS ROQUE LINO DE CARVALHO;7343
3239128; UNIDADE BASICA DE SAUDE PARQUE DAS BANDEIRAS SAO VICENTE;7335
2042592; PM 09 CARIOBINHA;7328
2706008; UBS PAULISTANO FRANCA SP;7320
6358780; CENTRO DE SAUDE TEREZINHA DE MORAES ARSILLA;7304
2033690; UBS ZANIBONI;7289
2055155; CLINICA SALTO SAUDE NACOES;7272
2773384; UBS BOTUJURU;7252
2073641; ESF II CENTRO DE SAUDE III NELCIDIO DA SILVEIRA BASTOS;7252
4050398; UBS PASTORAL;7245
2088452; CS DE PAULO DE FARIA;7231
2751216; UBS MARCIA CRISTIANE DA SILVA DE OURO VERDE;7225
9407; UBS ALTO DA PONTE;7224
2037270; CENTRO DE SAUDE SANTOS DUMONT;7199
5048427; UNIDADE BASICA DE SAUDE NAUTICA III SAO VICENTE;7197
2065703; POSTO DE SAUDE 02 DE SANTA BRANCA;7190
9153276; CENTRO DE SAUDE I;7167
9208755; UBS FRANCISCO PINTO BRANDAO;7142
2036045; CS DE MACAUBAL;7132
2036185; NUCLEO DO PROGRAMA DE SAUDE DA FAMILIA JARAGUA;7120
6418597; PRO MULHER 1;7116
7682603; USF VERANICE COSTA TATINO V SANTANA ITAPETININGA;7099
4049802; SAE IST AIDS CIDADE DUTRA;7090
2745763; ESF CENTRO;7086
2745771; CS IOLANDA FLEURY DE CAMPOS GUEDES NUPORANGA;7083
9087060; USF BICO DO PATO;7078
2050196; ESF II DR LUIS C BRANDOLEZZI;7074
2087294; USAFA JARDIM RIBAMAR;7071
9384472; USF JARDIM MONTESANO;7062
2747502; CENTRO DE SAUDE III;7061
9060723; PSF DR BENEDITO CARLOS ROCHA WESTIN SAO JOAO DA BOA VISTA;7049
2056852; UNIDADE BASICA DE SAUDE DA FAMILIA BILAC;7049
2790475; CS III MARTINIANO CRUZ DE GUAICARA;7023
7091664; ESF II JABORANDI OMAR PINTO NETO;7001
2745720; CS III RESTINGA;6983
2090570; UBS BAMBI;6978
2074796; USF MAJUCA MACEDO ATIBAIA;6976
2748541; USF DR ARTHUR DEL NERO JR PIRASSUNUNGA;6976
2747782; PSF JARDIM CRUZADO II IBATE;6964
2039257; UNIDADE BASICA DE SAUDE PARQUE BITARU SAO VICENTE;6959
2039494; CENTRO DE SAUDE III DE CLEMENTINA;6953
6446922; USF BOM JESUS MATAO;6949
3003329; USF JARDIM AEROPORTO BOTUCATU;6947
2044234; UBS MARIA IZABEL;6945
2070227; CENTRO DE SAUDE III DR NICOLA JORGE CARNEIRO GUARACAI;6942
2048183; UNIDADE MISTA DE PARDINHO;6935
2087308; USAFA PARQUE DO TREVO;6933
3847047; USF SANTO ONOFRE;6930
2035294; UBS DR PAULO EMILIO DE OLIVEIRA AZEVEDO SJBVISTA;6922
2082187; HOSPITAL DAS CLINICAS FAEPA RIBEIRAO PRETO;6917
6923720; CENTRO DE SAUDE;6912
2091917; UBS TAQUARITUBA;6909
2093308; CS DE JACI;6903
2036371; UBS VILA OPERARIA;6902
2801116; UBS VILA SAO JOSE SAUDE DA FAMILIA;6896
5731933; UNIDADE DE SAUDE DA FAMILIA TARCISIO BARINI;6887
6912214; UBS DR JOSE OSMAR MEIRELLES DOS SANTOS;6874
2084821; UNIDADE BASICA DE SAUDE JIP SAO VICENTE;6851
2084945; UMSF ESPERANCA;6841
2083396; UBS MANOEL JOSE BIDOIA PONTAL;6840
2064308; UNIDADE PSF VILA SAO PAULO CAPAO BONITO;6831
2090775; PSF SANTA INES ITABERA;6831
9801391; EAP SAUDE DA MULHER E DA CRIANCA;6817
2060256; UBS PARQUE SAO FRANCISCO;6810
2054264; UNIDADE BASICA DE SAUDE HELIO REIS RAMIRES;6787
5856620; UBS VILA NOVA APARECIDA;6757
2061619; UBS PLANALTO FRANCA SP;6755
9747346; UBS JULIO LIZART;6749
2051559; UBS PARQUE SAO JORGE ITAPEVA;6739
2052105; UBS JOAQUIM CORREA DE LARA FILHO VILA NOVA ITAPETININGA;6713
2054043; UNIDADE DE SAUDE DA FAMILIA E PA PARQUE SAO BENTO SOROCABA;6709
2786656; SAE DST AIDS SANTO AMARO DRA DENIZE DORNELAS DE OLIVEIRA;6704
2057573; UBS CECAP BOTUCATU;6701
7978685; UNIDADE BASICA DE SAUDE;6699
2052628; CENTRO DE SAUDE III DE ARANDU;6696
2062666; CENTRO DE SAUDE III DR WILSON MARTINS LARA TAMBAU;6695
2066343; UBS MARIA ANUNCIACAO ZENI CAPODEFERRO ATIBAIA;6683
2788411; UBS SANTA MADALENA;6681
2057859; CENTRO DE SAUDE;6670
2773619; UBS MINERACAO;6668
2054353; CENTRO DE SAUDE BARCELONA SOROCABA;6662
2025795; USAFA CARAGUAVA;6657
2748142; USF SANTA TEREZA;6644
5455642; USF VILA NOVA E ILHA DIANA;6637
2750171; CENTRO DE SAUDE III DE LINDOIA;6636
2088126; UBS MARIA BEATRIZ MOGI MIRIM;6629
7297130; USF POUSADA DA ESPERANCA II;6627
3486877; UNIDADE PSF JD ALVORADA ITARARE SP;6618
9835148; UBS JOSE AUGUSTO BATISTA FILHO MENEGUETI;6602
2080575; HOSPITAL BP;6588
2053039; USF POTUVERA;6583
2038285; CAMO BENFICA DR EDUARDO H F CHAR ANDRADINA;6579
8885; UBS RECREIO DA BORDA DO CAMPO;6577
2746441; UBS MIGUEL MIRIZOLA;6548
7800533; ESF II DE ICEM;6537
2050390; USF MORRO SAO BENTO;6532
3034410; UBS VILA ISABEL ROSANA CECATO LAHR;6527
2749491; UBS DR MANOEL PEREZ BAZAN MIRACATU;6507
2718952; ESF JARDIM JOSELY;6499
2032007; CENTRO DE SAUDE DR PLINIO ALBERS DE GALIA;6492
2051680; UBS CHICO MENDES;6481
2050722; UBS NOE FRANCO DE CAMPOS;6479
2047845; UBS IPE II;6451
5434483; ESF JOAO JOSE TEODORO BADY BASSITT;6447
2070839; UBS ALTO CAFEZAL;6434
2033283; UNIDADE BASICA DE SAUDE TANCREDO NEVES SAO VICENTE;6422
2055058; USF SAO MANOEL;6422
2063026; CENTRO DE SAUDE VILA ANGELICA SOROCABA;6397
2066866; UBS IRMA DULCE TAVEIRA;6391
2023881; UBS PEDRO IZZO;6385
2047357; C S III CAMPINA DO MONTE ALEGRE CAMPINA DO MONTE ALEGRE;6378
2053055; USF FRANCISCO JOSE DE SOUZA QUITU SAO MIGUEL ARCANJO;6378
7812418; UNIDADE DE SAUDE DA FAMILIA NOLBERTO DE OLIVERIO;6366
2085003; UMSF SANTO ANTONIO DA BOA VISTA;6366
